id_str,created_at,text
613073899505500160,Mon Jun 22 19:59:42 +0000 2015,"""@nojoed: @realDonaldTrump @KarlRove Karl, why don't you sit this election cycle out, we had enough losers to last us a life time."" True."
613085817427333123,Mon Jun 22 20:47:04 +0000 2015,True. https://t.co/wjffOyAxZM
613087701642936320,Mon Jun 22 20:54:33 +0000 2015,"""@MalachiNorris: Donald J. Trump is the very definition of the American success story. Through Trump we can bring back the American dream."""
613088019885740032,Mon Jun 22 20:55:49 +0000 2015,"""@luckydoginwesty: @realDonaldTrump @FL_GIRL979 I'll be voting for Mr. Trump"""
613088668505505792,Mon Jun 22 20:58:23 +0000 2015,"""@troubic  I'm definitely voting for @realDonaldTrump I would love to see what a real businessman can do for our economy!"""
613098869971402752,Mon Jun 22 21:38:56 +0000 2015,Today I filed my Statement of Candidacy with the FEC. Let's #MakeAmericaGreatAgain https://t.co/DB4q4J2gKn
613116506927464448,Mon Jun 22 22:49:01 +0000 2015,"Via @bpolitics by @emtitus: ”Defying Doubters, Donald Trump Makes Presidential Bid Official” http://t.co/Cjz7p3hFPX"
613167802334224385,Tue Jun 23 02:12:50 +0000 2015,"""@MeaganShamy: .@ScottFordTVGuy @BrandenHarvey I was at @TrumpLasVegas when @realDonaldTrump announced president bid. He's got my vote."
613168577793912832,Tue Jun 23 02:15:55 +0000 2015,"""@_bri: This is the first election I'll be able to vote, and my vote goes to Trump because I want to live in a great country! #Trump2016"""
613339673105170432,Tue Jun 23 13:35:48 +0000 2015,"""@williamonlyrent So sick of politicians sugar coating problems and issues. It will be so great to have #Trump2016 say it like it is!"""
613354055155515392,Tue Jun 23 14:32:56 +0000 2015,"""@WordgirlSmith @realDonaldTrump Please keep telling all of America that jobs, jobs, jobs are important to us because YOU ARE RIGHT!!!"""
613369632397914112,Tue Jun 23 15:34:50 +0000 2015,Via @WSJPolitics by @reidepstein: “Trump Surges in Popularity in N.H.” http://t.co/Iw6O3qhquR
613449061761458176,Tue Jun 23 20:50:28 +0000 2015,"""@kolbytraveller #Trump is more than just talk. I hope he wins the election and gets something done for once in this country. #Trump2016"""
613472632785240064,Tue Jun 23 22:24:08 +0000 2015,"Via @fitsnews:“Donald Trump Surges In New Hampshire Poll: MOGUL, REALITY STAR EMERGES AS GRANITE STATE’S ‘ANTI-BUSH’ http://t.co/TqFBtG9PHc"
613539481967312896,Wed Jun 24 02:49:46 +0000 2015,"Speaking at the Red, White and Blue Dinner in Maryland- https://t.co/TzuXN715fQ"
613681129967747072,Wed Jun 24 12:12:37 +0000 2015,"The highly respected Suffolk University poll just announced that I am alone in 2nd place in New Hampshire, with Jeb Bust (Bush) in first."
613712380464353283,Wed Jun 24 14:16:48 +0000 2015,Politician @SenatorCardin didn't like that I said Baltimore needs jobs &amp; spirit. It's politicians like Cardin that have destroyed Baltimore.
613728505789042688,Wed Jun 24 15:20:52 +0000 2015,"""@tryeye @realDonaldTrump Very strong start, Mr. President!"" Thanks."
613729699106267136,Wed Jun 24 15:25:37 +0000 2015,Thank you.  https://t.co/H8ZxLh6NCd
613788696266047489,Wed Jun 24 19:20:03 +0000 2015,"My daughter, Ivanka, will be representing me today at the opening of our campaign office in Manchester, NH  #MakeAmericaGreatAgain!"
613811922199281664,Wed Jun 24 20:52:20 +0000 2015,.@Neilyoung A few months ago Neil Young came to my office looking for $$ on an audio deal &amp; called me last week to go to his concert. Wow!
613814243171926016,Wed Jun 24 21:01:34 +0000 2015,"For the nonbeliever, here is a photo of @Neilyoung in my office and his $$ request—total hypocrite. http://t.co/Xm4BJvetIa"
613814933860519936,Wed Jun 24 21:04:19 +0000 2015,".@Neilyoung’s song, “Rockin’ In The Free World” was just one of 10 songs used as background music. Didn’t love it anyway."
613854015634325504,Wed Jun 24 23:39:36 +0000 2015,"""@barbgee68: @realDonaldTrump Excellent! I still can't believe voters have Jeb in front of you. Haven't Americans learned anything?""  NO!"
613854092327161856,Wed Jun 24 23:39:55 +0000 2015,"""@MarkAGiarrusso: @realDonaldTrump Go get 'em Donald."""
613854211940335616,Wed Jun 24 23:40:23 +0000 2015,"""@LionsTrinityCap: @realDonaldTrump UNMATCHED PRESIDENTIAL CAMPAIGN...Trump RESTORES America's credit rating to AAA in 3-4 yrs."
613854310292590593,Wed Jun 24 23:40:47 +0000 2015,"""@adeeasthope: @realDonaldTrump I'm voting for #trump for CEO of these United States, time to haul ass #Trump2016"" Great."
613854459328761856,Wed Jun 24 23:41:22 +0000 2015,"""@_laurenharding: @realDonaldTrump not to mention that there's a whole lot of people who never got asked (me included)!!! #Trump2016""  Cute."
613868265689993218,Thu Jun 25 00:36:14 +0000 2015,Uncomfortable looking NBC reporter Willie Geist calls me to ask for favors and then mockingly smiles when he is told of my high poll numbers
613871326793728000,Thu Jun 25 00:48:24 +0000 2015,"Just out, the new nationwide @FoxNews poll has me alone in 2nd place, closely behind Jeb Bush-but Bush will NEVER Make America Great Again!"
613874381438218240,Thu Jun 25 01:00:32 +0000 2015,"I am really beginning to respect Mark Halperin and John Heilemann as political reporters - they truly get why ""Trump"" poll numbers are high."
613888145956995072,Thu Jun 25 01:55:14 +0000 2015,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to  sleep. Dead T.V.
613891332944302080,Thu Jun 25 02:07:53 +0000 2015,".@WhoopiGoldberg had better surround herself with better hosts than Nicole Wallace, who doesn't have a clue. The show is close to death!"
613892121347682305,Thu Jun 25 02:11:01 +0000 2015,"My daughter Ivanka did great tonight in New Hampshire. The sold out crowd loved her, and she loved them. Thanks Ivanka!"
613893532793892864,Thu Jun 25 02:16:38 +0000 2015,"My message, MAKE AMERICA GREAT AGAIN, is beginning to take hold. Bring back our jobs, strengthen our military and borders, help our VETS!"
613906254390554624,Thu Jun 25 03:07:11 +0000 2015,"""@MunichEleven: Baseball, Hotdogs, Apple Pie and a vote for @realDonaldTrump in 502 days! On 11/08/2016 we make our country great again!"""
613906588869468160,Thu Jun 25 03:08:31 +0000 2015,"""@DanielaMarino: @FoxNews enough with #Bush #Clinton and the same faces every damn year. We need fresh new ppl that r not greedy. U r d one"""
613906707094310912,Thu Jun 25 03:08:59 +0000 2015,"""@TaraHollyFigure: @realDonaldTrump we are counting on you, Mr. Trump. I believe you are the answer to #MakeAmericaGreatAgain"""
